Bacterial_Strains;Treatement;Fungal_Strains;Repeat;Bloc;Fruit;Diametre1;Diametre2;Depth
DHT2;Untreated;Control;1;B1;1;0;0;0
DHT2;Untreated;Control;1;B1;2;0;0;0
DHT2;Untreated;Control;1;B1;3;0;0;0
DHT2;Treated;S2;1;B1;1;2;1,1;0
DHT2;Treated;S2;1;B1;2;3,7;1,5;1
DHT2;Treated;S2;1;B1;3;1,7;1,5;0
DHT2;Treated;S5;1;B1;1;1,5;2;0
DHT2;Treated;S5;1;B1;2;1,3;1,4;0
DHT2;Treated;S5;1;B1;3;1,4;1,7;0
H2Fl2;Untreated;Control;1;B1;1;0;0;0
H2Fl2;Untreated;Control;1;B1;2;0;0;0
H2Fl2;Untreated;Control;1;B1;3;0;0;0
H2Fl2;Treated;S2;1;B1;1;1,5;2;0
H2Fl2;Treated;S2;1;B1;2;1,7;2,7;0
H2Fl2;Treated;S2;1;B1;3;1,2;1,5;0
H2Fl2;Treated;S5;1;B1;1;1,2;2,5;0
H2Fl2;Treated;S5;1;B1;2;2;1,5;1
H2Fl2;Treated;S5;1;B1;3;1,1;1,1;0
BFl1;Untreated;Control;1;B1;1;0;0;0
BFl1;Untreated;Control;1;B1;2;0;0;0
BFl1;Untreated;Control;1;B1;3;0;0;0
BFl1;Treated;S2;1;B1;1;1,5;1,6;0
BFl1;Treated;S2;1;B1;2;1,3;1,2;0
BFl1;Treated;S2;1;B1;3;1;1,5;0
BFl1;Treated;S5;1;B1;1;1,1;1,5;0
BFl1;Treated;S5;1;B1;2;2;2,1;1
BFl1;Treated;S5;1;B1;3;1,5;1,8;0
TR1;Untreated;Control;1;B1;1;0;0;0
TR1;Untreated;Control;1;B1;2;0;0;0
TR1;Untreated;Control;1;B1;3;0;0;0
TR1;Treated;S2;1;B1;1;1,8;1,2;0
TR1;Treated;S2;1;B1;2;1,5;2,3;0
TR1;Treated;S2;1;B1;3;1,3;2;1,2
TR1;Treated;S5;1;B1;1;1,8;1,7;0
TR1;Treated;S5;1;B1;2;1,5;1,1;0
