Genotype;E1;E2;E3;E4;E5;E6;E7;E8;E9
G1; 4.46; 4.15; 2.85; 3.08; 5.94; 4.45; 4.35; 4.04; 2.67
G2; 4.42; 4.77; 2.91; 3.51; 5.70; 5.15; 4.96; 4.39; 2.94
G3; 4.67; 4.58; 3.10; 3.46; 6.07; 5.03; 4.73; 3.90; 2.62
G4; 4.73; 4.75; 3.38; 3.90; 6.22; 5.34; 4.23; 4.89; 3.45
G5; 4.39; 4.60; 3.51; 3.85; 5.77; 5.42; 5.15; 4.10; 2.83
G6; 5.18; 4.48; 2.99; 3.77; 6.58; 5.05; 3.99; 4.27; 2.78
G7; 3.38; 4.18; 2.74; 3.16; 5.34; 4.27; 4.16; 4.06; 2.03
G8; 4.85; 4.66; 4.43; 3.95; 5.54; 5.83; 4.17; 5.06; 3.57
G9; 5.04; 4.74; 3.51; 3.44; 5.96; 4.86; 4.98; 4.51; 2.86
G10; 5.20; 4.66; 3.60; 3.76; 5.94; 5.35; 3.90; 4.45; 3.30
G11; 4.29; 4.53; 2.76; 3.42; 6.14; 5.25; 4.86; 4.14; 3.15
G12; 3.15; 3.04; 2.39; 2.35; 4.23; 4.26; 3.38; 4.07; 2.10
G13; 4.10; 3.88; 2.30; 3.72; 4.56; 5.15; 2.60; 4.96; 2.89
G14; 3.34; 3.85; 2.42; 2.78; 4.63; 5.09; 3.28; 3.92; 2.56
G15; 4.38; 4.70; 3.66; 3.59; 6.19; 5.14; 3.93; 4.21; 2.93
G16; 4.94; 4.70; 2.95; 3.90; 6.06; 5.33; 4.30; 4.30; 3.03
G17; 3.79; 4.97; 3.38; 3.35; 4.77; 5.30; 4.32; 4.86; 3.38
G18; 4.24; 4.65; 3.61; 3.91; 6.64; 4.83; 5.01; 4.36; 3.11
