ID;CollecPop;Lat;Long;Elev
HM001;SA22322;35.017;37.1;471.227
HM002;SA28064;34.783;33.167;275.627
HM003;ESP105-L;38.076;-3.816;329.648
HM004;DZA045-6;36.923;7.736;72.775
HM005;DZA315-16;34.716;0.158;1136.269
HM006;F83005-5;43.33;6.14;374.343
HM007;Salses71B;42.49;2.56;1038.122
HM008;DZA012-J;36.548667908;3.1833333969;150.255
HM009;GRC020-B;38.122;21.543;43.498
HM010;SA24714;37.533;14.517;226.711
HM011;DZA327-7;35.252;-0.703;461.027
HM012;SA26063;32.167;-8.833;286.593
HM013;Salses42B;42.49;2.56;1038.122
HM014;DZA233-4;35.847;4.951;1390.534
HM015;F11013-3;43.09;2.52;215.413
HM016;SA09707;36;8;507.065
HM019;Borung;NA;NA;NA
HM020;TN1.11;36.2248084158;10.4375183791;11.625
HM021;TN1.21;36.2248084158;10.4375183791;11.625
HM023;TN6.18;35.572298;8.670788;959.526
HM024;TN8.3;36.7113916266;10.4467684397;3.434
HM025;TN9.22;36.5584688616;8.7550521256;160.602
HM026;F11008-C;42.55;2.56;1053.951
HM027;F83005-9;43.33;6.14;374.343
HM028;DZA241-2;35.487;6.478;1035.529
HM031;ESP158-A;37.529;-5.023;117.905
HM032;F11005-E;43.06;3.05;138.785
HM033;F20047-A;42.582;9.06;654.007
HM034;F20089-B;42.971;9.367;327.13
HM035;F66017;42.37;2.45;1491.34
HM036;GRC042-1;37.641;23.142;256.408
HM037;GRC064-B;39.987;23.932;198.526
HM038;PRT180-A;37.193;-8.887;35.686
HM039;SA03116;32;35;209.111
HM040;SA03780;38.1;15.65;40.16
HM041;SA09048;32.2;20.55;104.751
HM042;SA09119;41.033;28.95;2.782
HM043;SA09944;35.567;8.667;982.411
HM044;SA14161;32.317;35.75;883.22
HM045;SA14163;32;35;209.111
HM046;SA27882;33.083;-6.667;743.91
HM047;DZA014;36.475;3.311;907.465
HM048;DZA016-F;36.279;3.567;623.734
HM049;DZA058-5;36.14;7.944;826.189
HM050;DZA058-J;36.14;7.944;826.189
HM051;DZA202-4;35.221;0.121;488.569
HM052;DZA210-3;35.857;2.039;1202.076
HM053;DZA246-6;36.302;7.15;646.527
HM054;DZA309-A;34.803;-1.674;425.064
HM055;DZA326;35.216;-0.984;472.759
HM056;ESP074-A;41.121;0.988;139.675
HM057;ESP155-D;37.534;-5.964;47.341
HM058;ESP163-E;36.989;-4.285;883.633
HM059;F11012-A;43;2.44;719.633
HM060;F20015-10;42.084;9.369;105.238
HM061;GRC033-B2;36.915;22.5;310.407
HM062;GRC063-D;40.159;23.732;40.073
HM063;PRT176-F;37.153;-7.726;89.15
HM064;PRT178-D;37.206;-8.488;25
HM065;PRT179-J;37.075;-8.8;31.059
HM066;SA01489;32.683;35.4;488.262
HM067;SA01526;36;3;751.968
HM068;SA03648;37.15;-7.55;20.245
HM069;SA07749;36.217;10.283;186.752
HM070;SA08625;33;-6;957.644
HM071;SA08626;29.717;-9.6;257.608
HM072;SA09357;36.65;7.417;100.26
HM073;SA09710;35.75;8.517;604.487
HM074;SA09866;36.65;7.417;100.26
HM075;SA12451;39.117;8.933;475.011
HM076;SA23859;36.417;9.25;352.072
HM077;SA27062;38.083;22.567;24.515
HM078;SA27063;38.083;22.567;24.515
HM079;DZA045-4c;36.923;7.736;72.775
HM080;DZA061-B3d;36.5;7.404;220.023
HM081;DZA202-5;35.221;0.121;488.569
HM082;DZA210-2;35.857;2.039;1202.076
HM083;DZA210-5;35.857;2.039;1202.076
HM084;DZA243-6;35.809;7.367;961.128
HM085;DZA319;35.288;-0.571;424.505
HM086;DZA322--;35.387;-0.841;149.032
HM087;DZA323-1;35.633;-0.874;476.578
HM088;DZA323-D;35.633;-0.874;476.578
HM089;ESP155-A;37.534;-5.964;47.341
HM091;ESP171-F;36.388;-6.113;28.347
HM092;ESP174-A;37.333;-6.761;12.224
HM093;ESP173-A;37.391;-6.233;29.96
HM095;F20025-4;42.756;9.451;96.393
HM096;F20026-F;42.924;9.357;37.646
HM097;F83005-G;43.33;6.14;374.343
HM098;PRT176-12;37.153;-7.726;89.15
HM099;SA02840;35;33;694.319
HM101;A17_Varma;NA;NA;NA
HM105;SA09137;34.833;-0.167;838.968
HM106;SA09434;35.833;9.2;883.597
HM107;SA09670;34.833;-1.35;1098.571
HM108;SA09715;35.75;8.517;604.487
HM109;SA11959;33;35;10.668
HM111;SA27192;NA;NA;50
HM112;SA28097;NA;NA;500
HM114;CRE009-A;35.035;25.935;6.099
HM115;Cyprus_C;NA;NA;NA
HM117;ESP031-A;37.5;-1.991;706.311
HM118;ESP043-B;36.42;-5.125;8.719
HM119;ESP050-B;37.06;-5.808;30.547
HM120;ESP095-C;36.986;-2.914;914.415
HM121;ESP104-A;37.946;-4.525;153.298
HM122;Esp159-11;37.424;-4.755;253.468
HM124;Esp165-D;36.685;-4.793;205.672
HM125;ESP175-A;37.284;-7.122;27.296
HM126;F20015-L;42.084;9.369;105.238
HM127;F20025-F;42.756;9.451;96.393
HM128;F20058-6;41.405;9.127;113.12
HM129;F20069-A;42.592;8.908;446.291
HM130;F20069-C;42.592;8.908;446.291
HM131;F34042-D;43.4;3.46;17.745
HM133;GRC098-A;38.203;22.138;64.503
HM134;SA02084;37.55;25.133;10.964
HM135;SA02748;32.8;35.533;-161.737
HM138;SA08454;32.5;20.833;330.214
HM139;SA08623;33.067;-7;647.789
HM141;SA09456;34.75;10.717;11.646
HM143;SA10481;36.833;10.217;1.217
HM145;SA19964;37.883;28.5;73
HM146;SA21302;32.667;14.25;14.345
HM147;SA21362;31.417;15.25;205.93
HM148;SA21590;31.25;16.033;221.382
HM149;SA21819;34.7;33.05;53.063
HM150;SA22323;35.017;37.083;468.759
HM151;SA25226;37.133;14.917;694.944
HM152;SA25654;33.883;-5.617;512.359
HM153;SA25898;39.133;9.533;14.281
HM154;SA27778;32.55;-7.683;260.171
HM155;SA27961;31.833;-6.933;861.715
HM156;SA28089;34.9;33.617;3.244
HM157;SA28099;34.69;33;51.887
HM159;arboretu;43.11;3;1.964
HM160;CRE005-A;35.115;24.688;99.174
HM161;DZA033-2;36.509;5.394;769.547
HM162;DZA055-H;36.005;8.112;522.006
HM163;DZA061-11;36.5;7.404;220.023
HM164;DZA215-5;34.916;1.527;1141.798
HM165;DZA231-1;36.108;4.944;961.385
HM166;DZA236-2;36.014;6.567;780.337
HM167;DZA242-A;35.509;6.892;893.63
HM168;DZA323-3;35.633;-0.874;476.578
HM169;ESP039-A;36.95;-4.122;914.008
HM170;ESP042-B;36.577;-4.843;419.936
HM172;ESP048-E;36.429;-5.703;58.605
HM173;ESP048-F;36.429;-5.703;58.605
HM175;ESP098-B;37.104;-4.232;638.808
HM176;ESP098-C;37.104;-4.232;638.808
HM177;ESP100-G;37.06;-4.626;401.494
HM178;ESP103-B;37.728;-4.854;223.837
HM179;ESP162-A;37.245;-4.315;480.453
HM180;ESP163-C;36.989;-4.285;883.633
HM181;ESP175-D;37.284;-7.122;27.296
HM182;F11013-A;43.09;2.52;215.413
HM183;F20015-8;42.084;9.369;105.238
HM184;F20058-B;41.405;9.127;113.12
HM185;F20081-A;42.401;9.504;195.039
HM186;GRC024-H;37.723;21.874;220.541
HM187;GRC033-C;36.915;22.5;310.407
HM188;GRC040-1;37.596;23.011;297.835
HM189;PRT177-C;37.19;-8.081;128.108
HM190;SA02806;38.867;-7.283;425.041
HM191;SA03653;38.733;-9.133;56.357
HM192;SA07763;36.217;10.283;186.752
HM193;SA08638;33.167;-5.633;1091.775
HM194;SA09700;36.35;9.617;253.592
HM195;SA09728;34.75;10.717;11.646
HM196;SA09970;35.083;8.667;832.03
HM197;SA12455;NA;NA;70
HM198;SA18543;35.567;8.667;982.411
HM199;SA19983;34.667;33.083;6.882
HM200;SA19998;34.733;33.167;96.084
HM201;SA24576;34.083;-5;431.285
HM202;SA25941;39;9;8.846
HM203;SA27176;38.483;22.5;654.81
HM205;SA28375;37.067;-8.8;48.018
HM206;Salse57A;42.49;2.56;1038.122
HM207;Caliph;NA;NA;NA
HM208;Paraggio;NA;NA;NA
HM209;Sephi;NA;NA;NA
HM210;TN1.1;36.2248084158;10.4375183791;11.625
HM211;TN1.17;36.2248084158;10.4375183791;11.625
HM212;TN1.3;36.2248084158;10.4375183791;11.625
HM213;TN7.11;36.1793798561;8.7143063469;691.258
HM214;TN7.13;36.1793798561;8.7143063469;691.258
HM215;TN7.17;36.1793798561;8.7143063469;691.258
HM217;TN7.19;36.1793798561;8.7143063469;691.258
HM218;TN7.2;36.1793798561;8.7143063469;691.258
HM219;TN7.20;36.1793798561;8.7143063469;691.258
HM220;TN7.22;36.1793798561;8.7143063469;691.258
HM221;TN7.23;36.1793798561;8.7143063469;691.258
HM222;TN7.4;36.1793798561;8.7143063469;691.258
HM223;TN8.15;36.7113916266;10.4467684397;3.434
HM224;TN8.21;36.7113916266;10.4467684397;3.434
HM225;TN8.22;36.7113916266;10.4467684397;3.434
HM226;TN8.23;36.7113916266;10.4467684397;3.434
HM227;TN8.24;36.7113916266;10.4467684397;3.434
HM228;TN8.25;36.7113916266;10.4467684397;3.434
HM229;TN8.28;36.7113916266;10.4467684397;3.434
HM230;TN8.4;36.7113916266;10.4467684397;3.434
HM231;TN8.5;36.7113916266;10.4467684397;3.434
HM232;TN9.12;36.5584688616;8.7550521256;160.602
HM233;TN9.15;36.5584688616;8.7550521256;160.602
HM234;TN9.17;36.5584688616;8.7550521256;160.602
HM235;TN9.20;36.5584688616;8.7550521256;160.602
HM236;TN9.21;36.5584688616;8.7550521256;160.602
HM237;TN9.24;36.5584688616;8.7550521256;160.602
HM238;TN9.5;36.5584688616;8.7550521256;160.602
HM239;TN1.5;36.2248084158;10.4375183791;11.625
HM240;TN1.13;36.2248084158;10.4375183791;11.625
HM241;TN1.15;36.2248084158;10.4375183791;11.625
HM242;TN1.16;36.2248084158;10.4375183791;11.625
HM243;TN1.18;36.2248084158;10.4375183791;11.625
HM244;TN9.3;36.5584688616;8.7550521256;160.602
HM245;TN9.4;36.5584688616;8.7550521256;160.602
HM253;PI660496SSD;42.08333333;9.5;12.698
HM256;PI442895SSD;NA;NA;NA
HM259;PI577599SSD;35.33333333;25.13333333;5.87
HM260;PI516934SSD;33.05;-6.7;877.206
HM262;PI564941SSD;NA;NA;NA
HM266;PI660450SSD;36.23;2.88;1083.365
HM267;PI660437SSD;35.51666667;-0.18333333;100.488
HM268;PI660438SSD;35.18333333;-0.63333333;477.746
HM269;PI660470SSD;NA;NA;NA
HM270;PI493297SSD;37.21666667;-7.43333333;33.702
HM271;PI384664SSD;35.48;-6.03;7.565
HM276;PI577627SSD;34.78333333;-1.35;1266.035
HM277;PI577621SSD;34.85;0.15;791.13
HM278;PI577635SSD;43.7;7.26666667;7.723
HM279;PI660460SSD;34.5;-6.35;8.191
HM280;D1.2.3;NA;NA;NA
HM287;PI577607SSD;33.818482;35.840678;934.104
HM288;PI577611SSD;51.186435;10.464765;202.384
HM289;PI577617SSD;35.25;24.75;473.437
HM290;PI577640SSD;NA;NA;NA
HM293;PI660411SSD;NA;NA;NA
HM294;PI660433SSD;36.75;3.05;172.639
HM295;PI660442SSD;35.41666667;1.75;909.214
HM296;PI660444SSD;36.75;7.26;51.591
HM297;PI660447SSD;36.42;7.79;338.176
HM298;PI660448SSD;36.36666667;2.46666667;238.014
HM299;PI660456SSD;33.82;-6.08;446.482
HM300;PI660488SSD;37.91666667;13.95;587.215
HM301;PI660494SSD;40.55;14.23333333;161.741
HM302;PI283662SSD;42.610054;12.554097;249.464
HM304;PI384660SSD;33.16666667;-5.56666667;1117.567
HM305;PI384662SSD;34.23;-3.55;436.485
HM306;PI493295SSD;38.471116;-8.989549;50.155
HM307;PI516927SSD;31.28333333;-8.86666667;655.105
HM308;PI516933SSD;33.75;-6.65;341.608
HM309;PI516939SSD;33.56;-7.1;286.764
HM310;PI535651SSD;35.853526;9.1747;973.778
HM311;PI535752SSD;34.4;-2.04;933.321
HM312;PI577609SSD;35.891879;14.503041;49.146
HM313;PI660408SSD;NA;NA;NA
HM314;PI660361SSD;38;23.73333333;88.949
HM315;PI660387SSD;43.55;7;7.297
HM316;PI660421SSD;NA;NA;NA
