"Taxa";"Env";"yield"
"1";"PARK";"SW-AMPanel_2012_Davis_Dry";2640.4494382022
"2";"PARK";"SW-AMPanel_2012_Davis_Irr";1600
"29";"AC_BARRIE";"SW-AMPanel_2012_Davis_Dry";2390
"30";"AC_BARRIE";"SW-AMPanel_2012_Davis_Irr";2680
"41";"9241";"SW-AMPanel_2012_Davis_Dry";7213.4831460674
"42";"9241";"SW-AMPanel_2012_Davis_Irr";7810
"43";"9241";"SW-AMPanel_2013_Imperial_Irr";6583.2959473606
"44";"9241";"SW-AMPanel_2013_Imperial_Dry";5756.6920891282
"57";"SD4277";"SW-AMPanel_2012_Davis_Dry";5584.2696629213
"58";"SD4277";"SW-AMPanel_2012_Davis_Irr";5610
"81";"ULEN";"SW-AMPanel_2012_Davis_Dry";5505.6179775281
"82";"ULEN";"SW-AMPanel_2012_Davis_Irr";5700
"85";"IDO377S";"SW-AMPanel_2012_Davis_Dry";6573.0337078652
"86";"IDO377S";"SW-AMPanel_2012_Davis_Irr";6730
"87";"IDO377S";"SW-AMPanel_2013_Imperial_Irr";4149.4691191865
"88";"IDO377S";"SW-AMPanel_2013_Imperial_Dry";3607.7463735606
"89";"MN05141-2";"SW-AMPanel_2012_Davis_Dry";6438.202247191
"90";"MN05141-2";"SW-AMPanel_2012_Davis_Irr";6160
"91";"MN05141-2";"SW-AMPanel_2013_Imperial_Irr";3355.3910572753
"92";"MN05141-2";"SW-AMPanel_2013_Imperial_Dry";3069.3883654853
"93";"IDO440";"SW-AMPanel_2012_Davis_Dry";4573.0337078652
"94";"IDO440";"SW-AMPanel_2012_Davis_Irr";4990
"95";"IDO440";"SW-AMPanel_2013_Imperial_Irr";4555.48078361
"96";"IDO440";"SW-AMPanel_2013_Imperial_Dry";3789.4422012861
"113";"DUCLAIR";"SW-AMPanel_2012_Davis_Dry";7483.1460674157
"114";"DUCLAIR";"SW-AMPanel_2012_Davis_Irr";5280
"117";"MT0921";"SW-AMPanel_2012_Davis_Dry";4101.1235955056
"118";"MT0921";"SW-AMPanel_2012_Davis_Irr";4894
"161";"VERDE";"SW-AMPanel_2012_Davis_Dry";7314.606741573
"162";"VERDE";"SW-AMPanel_2012_Davis_Irr";7160
"163";"VERDE";"SW-AMPanel_2013_Imperial_Irr";6197.4727082399
"164";"VERDE";"SW-AMPanel_2013_Imperial_Dry";4522.9549872888
"165";"HW090006M";"SW-AMPanel_2012_Davis_Dry";4797.7528089888
"166";"HW090006M";"SW-AMPanel_2012_Davis_Irr";6770
"189";"SD4250";"SW-AMPanel_2012_Davis_Dry";3314.606741573
"190";"SD4250";"SW-AMPanel_2012_Davis_Irr";2930
"237";"MN06028";"SW-AMPanel_2012_Davis_Dry";6898.8764044944
"238";"MN06028";"SW-AMPanel_2012_Davis_Irr";5260
"239";"MN06028";"SW-AMPanel_2013_Imperial_Irr";6547.4054134889
"240";"MN06028";"SW-AMPanel_2013_Imperial_Dry";6844.6238971138
"253";"LAURA";"SW-AMPanel_2012_Davis_Dry";5089.8876404494
