"Taxa";"Env";"yield"
"5";"H0800310";"SW-AMPanel_2012_Davis_Dry";6202.2471910112
"6";"H0800310";"SW-AMPanel_2012_Davis_Irr";6010
"7";"H0800310";"SW-AMPanel_2013_Imperial_Irr";5120.7566920891
"8";"H0800310";"SW-AMPanel_2013_Imperial_Dry";4630.6265889038
"9";"9261";"SW-AMPanel_2012_Davis_Dry";7471.9101123595
"10";"9261";"SW-AMPanel_2012_Davis_Irr";6240
"11";"9261";"SW-AMPanel_2013_Imperial_Irr";6237.8495588455
"12";"9261";"SW-AMPanel_2013_Imperial_Dry";6259.1595633318
"13";"PENAWAWA";"SW-AMPanel_2012_Davis_Dry";7202.2471910112
"14";"PENAWAWA";"SW-AMPanel_2012_Davis_Irr";5300
"15";"PENAWAWA";"SW-AMPanel_2013_Imperial_Irr";4633.9913264543
"16";"PENAWAWA";"SW-AMPanel_2013_Imperial_Dry";4316.5844175265
"17";"SELKIRK";"SW-AMPanel_2012_Davis_Dry";3382.0224719101
"18";"SELKIRK";"SW-AMPanel_2012_Davis_Irr";2130
"21";"9232";"SW-AMPanel_2012_Davis_Dry";5337.0786516854
"22";"9232";"SW-AMPanel_2012_Davis_Irr";5100
"23";"9232";"SW-AMPanel_2013_Imperial_Irr";5699.4915507701
"24";"9232";"SW-AMPanel_2013_Imperial_Dry";4738.2981905189
"25";"CHOTEAU";"SW-AMPanel_2012_Davis_Dry";6359.5505617978
"26";"CHOTEAU";"SW-AMPanel_2012_Davis_Irr";6670
"33";"UI_LOCHSA";"SW-AMPanel_2012_Davis_Dry";4831.4606741573
"34";"UI_LOCHSA";"SW-AMPanel_2012_Davis_Irr";5320
"35";"UI_LOCHSA";"SW-AMPanel_2013_Imperial_Irr";6910.7970689397
"36";"UI_LOCHSA";"SW-AMPanel_2013_Imperial_Dry";4478.0918199492
"37";"LOUISE";"SW-AMPanel_2012_Davis_Dry";3044.9438202247
"38";"LOUISE";"SW-AMPanel_2012_Davis_Irr";3370
"45";"HR07024-5";"SW-AMPanel_2012_Davis_Dry";8651.6853932584
"46";"HR07024-5";"SW-AMPanel_2012_Davis_Irr";7030
"47";"HR07024-5";"SW-AMPanel_2013_Imperial_Irr";5268.8051443099
"48";"HR07024-5";"SW-AMPanel_2013_Imperial_Dry";3408.1052788994
"49";"TOM";"SW-AMPanel_2012_Davis_Dry";6955.0561797753
"50";"TOM";"SW-AMPanel_2012_Davis_Irr";5230
"51";"TOM";"SW-AMPanel_2013_Imperial_Irr";6305.1443098549
"52";"TOM";"SW-AMPanel_2013_Imperial_Dry";4193.2107073426
"53";"H0800080";"SW-AMPanel_2012_Davis_Dry";3505.6179775281
"54";"H0800080";"SW-AMPanel_2012_Davis_Irr";4080
"61";"ATTILA-1RSMA";"SW-AMPanel_2012_Davis_Dry";10235.95505618
"62";"ATTILA-1RSMA";"SW-AMPanel_2012_Davis_Irr";8200
"63";"ATTILA-1RSMA";"SW-AMPanel_2013_Imperial_Irr";6587.7822640945
"64";"ATTILA-1RSMA";"SW-AMPanel_2013_Imperial_Dry";4334.5296844624
"65";"9229";"SW-AMPanel_2012_Davis_Dry";8224.7191011236
"66";"9229";"SW-AMPanel_2012_Davis_Irr";8386
"67";"9229";"SW-AMPanel_2013_Imperial_Irr";6545.1622551219
"68";"9229";"SW-AMPanel_2013_Imperial_Dry";6097.6521609092
"69";"HOLLIS";"SW-AMPanel_2012_Davis_Dry";3561.797752809
"70";"HOLLIS";"SW-AMPanel_2012_Davis_Irr";3520
"73";"9258";"SW-AMPanel_2012_Davis_Dry";9438.202247191
"74";"9258";"SW-AMPanel_2012_Davis_Irr";6030
"75";"9258";"SW-AMPanel_2013_Imperial_Irr";5264.3188275759
"76";"9258";"SW-AMPanel_2013_Imperial_Dry";5204.8751308509
"77";"MN03358-4";"SW-AMPanel_2012_Davis_Dry";6752.808988764
"78";"MN03358-4";"SW-AMPanel_2012_Davis_Irr";4300
"97";"SD4181";"SW-AMPanel_2012_Davis_Dry";5426.9662921348
"98";"SD4181";"SW-AMPanel_2012_Davis_Irr";3580
"101";"HARVEST";"SW-AMPanel_2012_Davis_Dry";2831.4606741573
"102";"HARVEST";"SW-AMPanel_2012_Davis_Irr";3190
"105";"BRIGGS";"SW-AMPanel_2012_Davis_Dry";6359.5505617978
"106";"BRIGGS";"SW-AMPanel_2012_Davis_Irr";6028
"107";"BRIGGS";"SW-AMPanel_2013_Imperial_Irr";3676.1627037536
"108";"BRIGGS";"SW-AMPanel_2013_Imperial_Dry";4325.5570509945
"109";"AC_KARMA";"SW-AMPanel_2012_Davis_Dry";8067.4157303371
"110";"AC_KARMA";"SW-AMPanel_2012_Davis_Irr";7130
"111";"AC_KARMA";"SW-AMPanel_2013_Imperial_Irr";5883.4305368626
"112";"AC_KARMA";"SW-AMPanel_2013_Imperial_Dry";4819.0518917302
