Genotype;Environ;Group;     yield;MINTF; RADG
G001;SS92a;2;3,289333333;9,7;18,2
G002;SS92a;2;2,922666667;9,7;18,2
G003;SS92a;2;2,728666667;9,7;18,2
G004;SS92a;2;2,460666667;9,7;18,2
G005;SS92a;2;2,848666667;9,7;18,2
G006;SS92a;2;1,782666667;9,7;18,2
G007;SS92a;2;2,509333333;9,7;18,2
G008;SS92a;2;1,053333333;9,7;18,2
G009;SS92a;2;1,345333333;9,7;18,2
G010;SS92a;2;3,298666667;9,7;18,2
G011;SS92a;2;2,323333333;9,7;18,2
G012;SS92a;2;2,374666667;9,7;18,2
G013;SS92a;2;2,752;9,7;18,2
G014;SS92a;2;1,854666667;9,7;18,2
G015;SS92a;2;2,104;9,7;18,2
G016;SS92a;2;0,599333333;9,7;18,2
G017;SS92a;2;1,434666667;9,7;18,2
G018;SS92a;2;1,814;9,7;18,2
G019;SS92a;2;4,046666667;9,7;18,2
G020;SS92a;2;2,502;9,7;18,2
G021;SS92a;2;1,852;9,7;18,2
G022;SS92a;2;2,494;9,7;18,2
G023;SS92a;2;3,322666667;9,7;18,2
G024;SS92a;2;2,024;9,7;18,2
G025;SS92a;2;2,946666667;9,7;18,2
G026;SS92a;2;2,282;9,7;18,2
G027;SS92a;2;1,838666667;9,7;18,2
G028;SS92a;2;3,8;9,7;18,2
G029;SS92a;2;1,807333333;9,7;18,2
G030;SS92a;2;2,43;9,7;18,2
G031;SS92a;2;2,238;9,7;18,2
G032;SS92a;2;3,489333333;9,7;18,2
G033;SS92a;2;1,164666667;9,7;18,2
G034;SS92a;2;3,509333333;9,7;18,2
G035;SS92a;2;1,751333333;9,7;18,2
G036;SS92a;2;3,122;9,7;18,2
G037;SS92a;2;2,746;9,7;18,2
G038;SS92a;2;1,2;9,7;18,2
G039;SS92a;2;3,342666667;9,7;18,2
G040;SS92a;2;2,654;9,7;18,2
G041;SS92a;2;3,267333333;9,7;18,2
G042;SS92a;2;3,338;9,7;18,2
G043;SS92a;2;2,520666667;9,7;18,2
G044;SS92a;2;2,097333333;9,7;18,2
G045;SS92a;2;2,676666667;9,7;18,2
G046;SS92a;2;1,82;9,7;18,2
G047;SS92a;2;2,692666667;9,7;18,2
G048;SS92a;2;2,006;9,7;18,2
G049;SS92a;2;2,644;9,7;18,2
G050;SS92a;2;3,996666667;9,7;18,2
G051;SS92a;2;2,559333333;9,7;18,2
G052;SS92a;2;2,032;9,7;18,2
G053;SS92a;2;2,536666667;9,7;18,2
G054;SS92a;2;1,881333333;9,7;18,2
G055;SS92a;2;3,034666667;9,7;18,2
G056;SS92a;2;3,026;9,7;18,2
G057;SS92a;2;2,095333333;9,7;18,2
G058;SS92a;2;3,885333333;9,7;18,2
G059;SS92a;2;2,378666667;9,7;18,2
G060;SS92a;2;1,818666667;9,7;18,2
G061;SS92a;2;1,862666667;9,7;18,2
G062;SS92a;2;2,564666667;9,7;18,2
G063;SS92a;2;3,281333333;9,7;18,2
G064;SS92a;2;2,226666667;9,7;18,2
G065;SS92a;2;2,2;9,7;18,2
G066;SS92a;2;2,369333333;9,7;18,2
G067;SS92a;2;3,553333333;9,7;18,2
G068;SS92a;2;4,192666667;9,7;18,2
G069;SS92a;2;3,259333333;9,7;18,2
G070;SS92a;2;1,999333333;9,7;18,2
G071;SS92a;2;1,424;9,7;18,2
G072;SS92a;2;2,599333333;9,7;18,2
G073;SS92a;2;1,157333333;9,7;18,2
G074;SS92a;2;1,542;9,7;18,2
G075;SS92a;2;1,822666667;9,7;18,2
G076;SS92a;2;2,158666667;9,7;18,2
G077;SS92a;2;3,352666667;9,7;18,2
G078;SS92a;2;2,488;9,7;18,2
G079;SS92a;2;1,932;9,7;18,2
G080;SS92a;2;2,605333333;9,7;18,2
G081;SS92a;2;2,966;9,7;18,2
G082;SS92a;2;2,088666667;9,7;18,2
G083;SS92a;2;2,064;9,7;18,2
G084;SS92a;2;1,214666667;9,7;18,2
G085;SS92a;2;4,39;9,7;18,2
G086;SS92a;2;3,564666667;9,7;18,2
G087;SS92a;2;2,992;9,7;18,2
G088;SS92a;2;2,932;9,7;18,2
G089;SS92a;2;3,822;9,7;18,2
G090;SS92a;2;1,399333333;9,7;18,2
G091;SS92a;2;3,213333333;9,7;18,2
G092;SS92a;2;2,196666667;9,7;18,2
G093;SS92a;2;2,346;9,7;18,2
G094;SS92a;2;3,517333333;9,7;18,2
G095;SS92a;2;1,631333333;9,7;18,2
G096;SS92a;2;1,163333333;9,7;18,2
G097;SS92a;2;1,508;9,7;18,2
G098;SS92a;2;1,486666667;9,7;18,2
G099;SS92a;2;2,793333333;9,7;18,2
G100;SS92a;2;2,705333333;9,7;18,2
G101;SS92a;2;1,719333333;9,7;18,2
G102;SS92a;2;2,496;9,7;18,2
G103;SS92a;2;2,624;9,7;18,2
G104;SS92a;2;3,624;9,7;18,2
G105;SS92a;2;1,812;9,7;18,2
G106;SS92a;2;3,428666667;9,7;18,2
G107;SS92a;2;2,116;9,7;18,2
G108;SS92a;2;2,977333333;9,7;18,2
G109;SS92a;2;2,466;9,7;18,2
G110;SS92a;2;2,262;9,7;18,2
G111;SS92a;2;0,818;9,7;18,2
G112;SS92a;2;1,797333333;9,7;18,2
G113;SS92a;2;1,156666667;9,7;18,2
G114;SS92a;2;1,489333333;9,7;18,2
G115;SS92a;2;2,93;9,7;18,2
G116;SS92a;2;2,244;9,7;18,2
G117;SS92a;2;2,199333333;9,7;18,2
G118;SS92a;2;0,600133333;9,7;18,2
G119;SS92a;2;2,055333333;9,7;18,2
G120;SS92a;2;1,460666667;9,7;18,2
G121;SS92a;2;4,204666667;9,7;18,2
G122;SS92a;2;1,721333333;9,7;18,2
G123;SS92a;2;3,060666667;9,7;18,2
G124;SS92a;2;1,756;9,7;18,2
G125;SS92a;2;2,361333333;9,7;18,2
G126;SS92a;2;0,310866667;9,7;18,2
G127;SS92a;2;3,685333333;9,7;18,2
G128;SS92a;2;1,969333333;9,7;18,2
G129;SS92a;2;4,592;9,7;18,2
G130;SS92a;2;2,916666667;9,7;18,2
G131;SS92a;2;2,342;9,7;18,2
G132;SS92a;2;2,061333333;9,7;18,2
G133;SS92a;2;0,838666667;9,7;18,2
G134;SS92a;2;1,492666667;9,7;18,2
G135;SS92a;2;3,927333333;9,7;18,2
G136;SS92a;2;1,472666667;9,7;18,2
G137;SS92a;2;2,284;9,7;18,2
G138;SS92a;2;1,898666667;9,7;18,2
G139;SS92a;2;1,804666667;9,7;18,2
G140;SS92a;2;1,641333333;9,7;18,2
G141;SS92a;2;2,396666667;9,7;18,2
G142;SS92a;2;3,946666667;9,7;18,2
G143;SS92a;2;1,728;9,7;18,2
G144;SS92a;2;3,751333333;9,7;18,2
G145;SS92a;2;2,832666667;9,7;18,2
G146;SS92a;2;2,207333333;9,7;18,2
G147;SS92a;2;1,896666667;9,7;18,2
G148;SS92a;2;1,967333333;9,7;18,2
G149;SS92a;2;2,921333333;9,7;18,2
G150;SS92a;2;1,147333333;9,7;18,2
G151;SS92a;2;2,311333333;9,7;18,2
G152;SS92a;2;3,765333333;9,7;18,2
G153;SS92a;2;1,297333333;9,7;18,2
G154;SS92a;2;2,762;9,7;18,2
G155;SS92a;2;3,567333333;9,7;18,2
G156;SS92a;2;3,966;9,7;18,2
G157;SS92a;2;3,082;9,7;18,2
G158;SS92a;2;2,301333333;9,7;18,2
G159;SS92a;2;3,189333333;9,7;18,2
G160;SS92a;2;3,821333333;9,7;18,2
G161;SS92a;2;3,833333333;9,7;18,2
G162;SS92a;2;4,297333333;9,7;18,2
G163;SS92a;2;2,473333333;9,7;18,2
G164;SS92a;2;2,209333333;9,7;18,2
G165;SS92a;2;2,107333333;9,7;18,2
G166;SS92a;2;3,645333333;9,7;18,2
G167;SS92a;2;3,505333333;9,7;18,2
G168;SS92a;2;2,958;9,7;18,2
G169;SS92a;2;1,968666667;9,7;18,2
G170;SS92a;2;2,16;9,7;18,2
G171;SS92a;2;1,755333333;9,7;18,2
G172;SS92a;2;1,406;9,7;18,2
G173;SS92a;2;1,941333333;9,7;18,2
G174;SS92a;2;1,194666667;9,7;18,2
G175;SS92a;2;2,321333333;9,7;18,2
G176;SS92a;2;3,662666667;9,7;18,2
G177;SS92a;2;2,938;9,7;18,2
G178;SS92a;2;3,336;9,7;18,2
G179;SS92a;2;1,126666667;9,7;18,2
G180;SS92a;2;1,114666667;9,7;18,2
G181;SS92a;2;2,106;9,7;18,2
G182;SS92a;2;2,126;9,7;18,2
G183;SS92a;2;1,640666667;9,7;18,2
G184;SS92a;2;1,781333333;9,7;18,2
G185;SS92a;2;3,006666667;9,7;18,2
