"marker";"chrom";"loc"
"IWA2";"IWA2";"";NA
"IWA46";"IWA46";"";NA
"IWA56";"IWA56";"";NA
"IWA66";"IWA66";"";NA
"IWA102";"IWA102";"";NA
"IWA103";"IWA103";"";NA
"IWA108";"IWA108";"";NA
"IWA204";"IWA204";"";NA
"IWA206";"IWA206";"";NA
"IWA235";"IWA235";"";NA
"IWA244";"IWA244";"";NA
"IWA261";"IWA261";"";NA
"IWA266";"IWA266";"";NA
"IWA280";"IWA280";"";NA
"IWA291";"IWA291";"";NA
"IWA329";"IWA329";"";NA
"IWA337";"IWA337";"";NA
"IWA338";"IWA338";"";NA
"IWA356";"IWA356";"";NA
"IWA440";"IWA440";"";NA
"IWA443";"IWA443";"";NA
"IWA454";"IWA454";"";NA
"IWA500";"IWA500";"";NA
"IWA539";"IWA539";"";NA
"IWA557";"IWA557";"";NA
"IWA574";"IWA574";"";NA
"IWA584";"IWA584";"";NA
"IWA590";"IWA590";"";NA
"IWA593";"IWA593";"";NA
"IWA596";"IWA596";"";NA
"IWA601";"IWA601";"";NA
"IWA663";"IWA663";"";NA
"IWA688";"IWA688";"";NA
"IWA701";"IWA701";"";NA
"IWA708";"IWA708";"";NA
"IWA739";"IWA739";"";NA
"IWA749";"IWA749";"";NA
"IWA760";"IWA760";"";NA
"IWA887";"IWA887";"";NA
"IWA899";"IWA899";"";NA
"IWA933";"IWA933";"";NA
"IWA946";"IWA946";"";NA
"IWA970";"IWA970";"";NA
"IWA987";"IWA987";"";NA
"IWA1028";"IWA1028";"";NA
"IWA1068";"IWA1068";"";NA
"IWA1076";"IWA1076";"";NA
"IWA1078";"IWA1078";"";NA
"IWA1100";"IWA1100";"";NA
"IWA1207";"IWA1207";"";NA
"IWA1214";"IWA1214";"";NA
"IWA1253";"IWA1253";"";NA
"IWA1278";"IWA1278";"";NA
"IWA1291";"IWA1291";"";NA
"IWA1292";"IWA1292";"";NA
"IWA1293";"IWA1293";"";NA
"IWA1314";"IWA1314";"";NA
"IWA1316";"IWA1316";"";NA
"IWA1325";"IWA1325";"";NA
"IWA1375";"IWA1375";"";NA
"IWA1391";"IWA1391";"";NA
"IWA1456";"IWA1456";"";NA
